date,country,state,city,ibgeID,newCases,totalCases,last_update
2020-03-24,Brazil,TOTAL,TOTAL,27,311,2272,2020-03-26 15:52:09.506563
2020-03-24,Brazil,RJ,Duque de Caxias/RJ,3301702,1,1,2020-03-26 15:52:09.506563
2020-03-24,Brazil,SC,Joinville/SC,4209102,0,4,2020-03-26 15:52:09.506563
2020-03-24,Brazil,RN,Natal/RN,2408102,0,9,2020-03-26 15:52:09.506563
2020-03-24,Brazil,GO,Rio Verde/GO,5218805,0,5,2020-03-26 15:52:09.506563
2020-03-24,Brazil,MG,Ipatinga/MG,3131307,0,1,2020-03-26 15:52:09.506563
2020-03-24,Brazil,SP,Ferraz de Vasconcelos/SP,3515707,0,1,2020-03-26 15:52:09.506563
2020-03-24,Brazil,PR,Cianorte/PR,4105508,0,6,2020-03-26 15:52:09.506563
2020-03-24,Brazil,RS,Caxias do Sul/RS,4305108,0,2,2020-03-26 15:52:09.506563
2020-03-24,Brazil,PE,Recife/PE,2611606,0,30,2020-03-26 15:52:09.506563
2020-03-24,Brazil,RS,Campo Bom/RS,4303905,0,2,2020-03-26 15:52:09.506563
2020-03-24,Brazil,MG,Divinópolis/MG,3122306,0,1,2020-03-26 15:52:09.506563
2020-03-24,Brazil,SP,Santana de Parnaíba/SP,3547304,0,2,2020-03-26 15:52:09.506563
2020-03-24,Brazil,RJ,Barra Mansa/RJ,3300407,0,1,2020-03-26 15:52:09.506563
2020-03-24,Brazil,MT,Nova Monte Verde/MT,5108956,1,1,2020-03-26 15:52:09.506563
2020-03-24,Brazil,RS,Paraí/RS,4314001,1,1,2020-03-26 15:52:09.506563
2020-03-24,Brazil,RS,Camaquã/RS,4303509,1,1,2020-03-26 15:52:09.506563
2020-03-24,Brazil,RS,Anta Gorda/RS,4300703,1,1,2020-03-26 15:52:09.506563
2020-03-24,Brazil,ES,FORA DO ESTADO/ES,32,1,1,2020-03-26 15:52:09.506563
2020-03-24,Brazil,CE,Mauriti/CE,2308104,1,1,2020-03-26 15:52:09.506563
2020-03-24,Brazil,SC,Tijucas/SC,4218004,1,1,2020-03-26 15:52:09.506563
