id_6char,id_7char,municipio_sus,municipio,uf,populacao,clinicos,intensivistas,enfermeiros,anestesiologistas,ventiladores_existentes,ventiladores_em_uso,estab_c_vent_sus,quantidade_leitos,leitos_sus,leitos_nao_sus
110001,1100015, Alta Floresta D'Oeste,Alta Floresta D'Oeste,RO,22945,9,,16,,,,,49,43,6
110002,1100023, Ariquemes,Ariquemes,RO,107863,68,1,73,5,49,49,7,240,135,105
110003,1100031, Cabixi,Cabixi,RO,5312,4,,5,,,,,9,9,
110004,1100049, Cacoal,Cacoal,RO,85359,67,2,180,40,59,58,3,360,287,73
110005,1100056, Cerejeiras,Cerejeiras,RO,16323,8,,10,,,,,40,40,
110006,1100064, Colorado do Oeste,Colorado do Oeste,RO,15882,8,,8,,2,2,2,50,50,
110007,1100072, Corumbiara,Corumbiara,RO,7391,3,,2,,,,,16,16,
110008,1100080, Costa Marques,Costa Marques,RO,18331,4,,6,,,,,45,45,
110009,1100098, Espigão D'Oeste,Espigão D'Oeste,RO,32374,12,,15,,3,3,1,54,36,18
110010,1100106, Guajará-Mirim,Guajará-Mirim,RO,46174,29,,34,1,3,3,2,97,88,9
110011,1100114, Jaru,Jaru,RO,51775,23,,31,6,2,2,1,115,100,15
110012,1100122, Ji-Paraná,Ji-Paraná,RO,128969,102,2,74,3,22,22,1,259,161,98
110013,1100130, Machadinho D'Oeste,Machadinho D'Oeste,RO,39991,3,,15,1,1,1,1,48,48,
110014,1100148, Nova Brasilândia D'Oeste,Nova Brasilândia D'Oeste,RO,20474,5,,7,,1,,1,44,44,
110015,1100155, Ouro Preto do Oeste,Ouro Preto do Oeste,RO,36035,9,,8,3,9,9,1,117,45,72
110018,1100189, Pimenta Bueno,Pimenta Bueno,RO,36660,14,,25,,1,1,1,58,46,12
110020,1100205, Porto Velho,Porto Velho,RO,529544,318,13,754,36,301,256,24,1701,1253,448
110025,1100254, Presidente Médici,Presidente Médici,RO,18986,4,,18,,,,,45,45,
110026,1100262, Rio Crespo,Rio Crespo,RO,3764,2,,2,,,,,9,9,
110028,1100288, Rolim de Moura,Rolim de Moura,RO,55058,19,,26,1,1,1,,94,78,16
110029,1100296, Santa Luzia D'Oeste,Santa Luzia D'Oeste,RO,6495,5,,6,,1,,1,25,25,
110030,1100304, Vilhena,Vilhena,RO,99854,37,,98,4,20,19,2,206,187,19
110032,1100320, São Miguel do Guaporé,São Miguel do Guaporé,RO,23005,3,,11,,,,,44,44,
110033,1100338, Nova Mamoré,Nova Mamoré,RO,30583,6,,12,,2,2,1,20,20,
110034,1100346, Alvorada D'Oeste,Alvorada D'Oeste,RO,14411,2,,11,,,,,35,35,
110037,1100379, Alto Alegre dos Parecis,Alto Alegre dos Parecis,RO,13241,2,,6,,,,,16,16,
110040,1100403, Alto Paraíso,Alto Paraíso,RO,21428,10,,6,,1,1,1,16,16,
