,region_id,municipio,uf,populacao,quantidade_leitos
0,AC,AC,AC,881935,1484.0
1,AL,AL,AL,3337357,5891.0
2,AM,AM,AM,4144597,5700.0
3,AP,AP,AP,845731,1098.0
4,BA,BA,BA,14873064,28960.0
5,CE,CE,CE,9132078,18510.0
6,DF,DF,DF,3015268,6705.0
7,ES,ES,ES,4018650,7929.0
8,GO,GO,GO,7018354,17445.0
9,MA,MA,MA,7075181,13778.0
10,MG,MG,MG,21168791,40699.0
11,MS,MS,MS,2778986,5596.0
12,MT,MT,MT,3484466,7156.0
13,PA,PA,PA,8602865,13584.0
14,PB,PB,PB,4018127,8171.0
15,PE,PE,PE,9557071,20961.0
16,PI,PI,PI,3273227,7460.0
17,PR,PR,PR,11433957,27502.0
18,RJ,RJ,RJ,17264943,32736.0
19,RN,RN,RN,3506853,7272.0
20,RO,RO,RO,1777225,4286.0
21,RR,RR,RR,605761,1133.0
22,RS,RS,RS,11377239,30123.0
23,SC,SC,SC,7164788,15322.0
24,SE,SE,SE,2298696,3212.0
25,SP,SP,SP,45919049,90603.0
26,TO,TO,TO,1572866,3072.0
0,ALTA FLORESTA DOESTE RO,Alta Floresta DOeste,RO,22945,49.0
1,ARIQUEMES RO,Ariquemes,RO,107863,240.0
2,CABIXI RO,Cabixi,RO,5312,9.0
3,CACOAL RO,Cacoal,RO,85359,360.0
4,CEREJEIRAS RO,Cerejeiras,RO,16323,40.0
5,COLORADO DO OESTE RO,Colorado do Oeste,RO,15882,50.0
6,CORUMBIARA RO,Corumbiara,RO,7391,16.0
7,COSTA MARQUES RO,Costa Marques,RO,18331,45.0
8,ESPIGAO DOESTE RO,Espigão DOeste,RO,32374,54.0
9,GUAJARA-MIRIM RO,Guajará-Mirim,RO,46174,97.0
10,JARU RO,Jaru,RO,51775,115.0
11,JI-PARANA RO,Ji-Paraná,RO,128969,259.0
12,MACHADINHO DOESTE RO,Machadinho DOeste,RO,39991,48.0
13,NOVA BRASILANDIA DOESTE RO,Nova Brasilândia DOeste,RO,20474,44.0
14,OURO PRETO DO OESTE RO,Ouro Preto do Oeste,RO,36035,117.0
15,PIMENTA BUENO RO,Pimenta Bueno,RO,36660,58.0
16,PORTO VELHO RO,Porto Velho,RO,529544,1701.0
17,PRESIDENTE MEDICI RO,Presidente Médici,RO,18986,45.0
18,RIO CRESPO RO,Rio Crespo,RO,3764,9.0
19,ROLIM DE MOURA RO,Rolim de Moura,RO,55058,94.0
20,SANTA LUZIA DOESTE RO,Santa Luzia DOeste,RO,6495,25.0
21,VILHENA RO,Vilhena,RO,99854,206.0
22,SAO MIGUEL DO GUAPORE RO,São Miguel do Guaporé,RO,23005,44.0
23,NOVA MAMORE RO,Nova Mamoré,RO,30583,20.0
24,ALVORADA DOESTE RO,Alvorada DOeste,RO,14411,35.0
25,ALTO ALEGRE DOS PARECIS RO,Alto Alegre dos Parecis,RO,13241,16.0
26,ALTO PARAISO RO,Alto Paraíso,RO,21428,16.0
27,BURITIS RO,Buritis,RO,39654,66.0
28,NOVO HORIZONTE DO OESTE RO,Novo Horizonte do Oeste,RO,8538,18.0
29,CACAULANDIA RO,Cacaulândia,RO,6230,26.0
30,CAMPO NOVO DE RONDONIA RO,Campo Novo de Rondônia,RO,14139,19.0
31,CANDEIAS DO JAMARI RO,Candeias do Jamari,RO,26693,15.0
32,CASTANHEIRAS RO,Castanheiras,RO,3052,7.0
33,CHUPINGUAIA RO,Chupinguaia,RO,11182,10.0
34,CUJUBIM RO,Cujubim,RO,25215,11.0
